signal_name,type,fanin,fanin_verb,Fanout,fanout_verb,loop,length,hier_level,size,tag
input_1_axis_tid,1,0,1,0,1,0,8,0,184,0
input_1_axis_tdest,1,0,1,0,1,0,8,0,184,0
input_1_axis_tuser,1,0,1,0,2,0,1,0,184,0
input_2_axis_tdata,1,0,1,0,2,0,8,0,184,0
input_2_axis_tkeep,1,0,1,0,1,0,1,0,184,0
input_2_axis_tid,1,0,1,0,1,0,8,0,184,0
input_2_axis_tdest,1,0,1,0,1,0,8,0,184,0
input_2_axis_tuser,1,0,1,0,2,0,1,0,184,0
input_3_axis_tdata,1,0,1,0,2,0,8,0,184,0
input_3_axis_tkeep,1,0,1,0,1,0,1,0,184,0
input_3_axis_tid,1,0,1,0,1,0,8,0,184,0
input_3_axis_tdest,1,0,1,0,1,0,8,0,184,0
input_3_axis_tuser,1,0,1,0,2,0,1,0,184,0
output_axis_tdata,2,1,3,1,1,0,8,0,184,0
output_axis_tkeep,2,0,1,1,1,0,1,0,184,0
output_axis_tid,2,0,1,1,1,0,8,0,184,0
output_axis_tdest,2,0,1,1,1,0,8,0,184,0
output_axis_tuser,2,1,3,1,1,0,1,0,184,0
/designs/axis_arb_mux_4/instances_hier/arb_inst/instances_seq/grant_encoded_reg_reg,3,8,94,1,1,1,2,1,184,1
/designs/axis_arb_mux_4/instances_hier/arb_inst/instances_seq/grant_reg_reg,3,7,92,1,1,1,4,1,184,1
/designs/axis_arb_mux_4/instances_hier/mux_inst/instances_seq/select_reg_reg,3,4,60,1,1,1,2,1,184,1
/designs/axis_arb_mux_4/instances_hier/mux_inst/instances_seq/output_axis_tdata_reg_reg,3,6,84,1,1,1,8,1,184,0
/designs/axis_arb_mux_4/instances_hier/mux_inst/instances_seq/output_axis_tuser_reg_reg,3,6,84,1,1,1,1,1,184,0
/designs/axis_arb_mux_4/instances_hier/mux_inst/instances_seq/temp_axis_tdata_reg_reg,3,5,62,1,1,1,8,1,184,0
/designs/axis_arb_mux_4/instances_hier/mux_inst/instances_seq/temp_axis_tuser_reg_reg,3,5,62,1,1,1,1,1,184,0
S_AXIS_ARESETN,1,0,1,5,30,0,1,0,46,1
S_AXIS_TLAST,1,0,1,1,11,0,1,0,46,0
